company,name,sha1,description,clearance,vendor_reputation,cve_history,incidents,datahandling_and_compliance,trust_score,confidence_rating,alternatives
Tor Project,Tor Browser,fgh789,"Privacy-focused browser routing through Tor network",true,"Strong privacy-community reputation","Low CVE activity; rapid patch cycle","No major incidents impacting anonymity core","Open-source; relies on Mozilla codebase","83","80","Brave; Mullvad Browser"
Notepad++ Foundation,Notepad++,ghi012,"Lightweight open-source text editor",true,"Trusted OSS developer reputation","Minimal CVE activity","No significant incidents","Open-source transparency","75","65","Sublime Text; VS Code"
GIMP Development Team,GIMP,hij345,"Open-source image editor",true,"Good OSS reputation","Very low CVE frequency","No major security issues","Open-source; community maintained","73","60","Krita; Paint.NET"
LastPass US LP,LastPass,ijk678,"Password manager with past breach history",false,"Reputation damaged by 2022 breach","Low CVE volume; risk due mostly to incident","Major 2022 multi-stage breach","SOC2 claims; transparency questioned","35","50","1Password; Bitwarden"
Bitwarden Inc.,Bitwarden,klm901,"Open-source password manager",true,"Strong modern reputation","Minimal CVE activity; fast patching","No major incidents reported","SOC2; open-source security model","90","88","1Password; KeePass"
Zoom Video Communications,Zoom,lmn234,"Video conferencing platform",true,"Solid reputation after 2020 improvements","Medium CVEs but rapid disclosure & fixes","Past 'Zoom-bombing' waves; mitigated","SOC2, ISO, FedRAMP (partial)","80","78","Google Meet; Microsoft Teams"
GitHub,Atom,mno567,"Open-source editor (deprecated)",false,"Maintenance ended affecting trust","Minimal historical CVEs","No major incidents","Open-source; but now unmaintained","40","40","VS Code; Sublime Text"
OBS Project,OBS Studio,pqr890,"Open-source streaming/recording software",true,"Strong reputation","Few CVEs; generally low-risk","No major breaches","Open-source; active development","85","75","XSplit; Streamlabs Desktop"
Wireshark Foundation,Wireshark,qrs123,"Network packet analyzer for professionals",true,"Highly trusted in cybersecurity","Low CVE count, quickly patched","No major incidents","Open-source; highly audited","92","85","tcpdump; TShark"
FileZilla Project,FileZilla,rst456,"FTP/SFTP client",true,"Good reputation overall","Moderate CVE history but mostly older","No significant incidents","Open-source; secure defaults improving","70","65","WinSCP; Cyberduck"
Martin Prikryl,WinSCP,stu789,"SFTP/FTP client",true,"Strong reputation for secure file transfer","Few CVEs; none major in recent years","No major incidents","Open-source; transparent codebase","88","80","Cyberduck; FileZilla"
PuTTY Team,PuTTY,tuv012,"SSH/Telnet client",true,"Long-standing, trusted tool","Extremely low CVE volume","No major incidents","Open-source; widely audited","90","88","MobaXterm; OpenSSH client"
KeePass Project,KeePass,uvw345,"Password manager, open-source",true,"Trusted but some plugin misuse concerns","Very low CVE count","Minor 2023 disclosure plugin issue","Open-source; local-only by default","82","70","Bitwarden; KeePassXC"
KeePassXC Team,KeePassXC,vwx678,"Community fork of KeePass",true,"Very strong OSS reputation","Low CVEs; modern crypto practices","No major incidents","Open-source; audited","90","85","Bitwarden; 1Password"
TechSmith,Snagit,wxy901,"Screenshot + annotation tool",true,"Strong commercial vendor","Very few CVEs","No major incidents","Standard enterprise compliance","82","72","Greenshot; ShareX"
ShareX Team,ShareX,xyz234,"Open-source screenshot tool",true,"Strong OSS reputation","Low CVE volume","No major incidents","Open-source; community vetted","80","70","Greenshot; Flameshot"
PeaZip Project,PeaZip,yza567,"Open-source archiver with good feature set",true,"Good OSS reputation","Low CVEs","No major incidents","Open-source","78","65","7-Zip; WinRAR"
Movavi,Movavi Video Converter,zab890,"Consumer-grade media tool",true,"Mixed reputation but stable","Low CVEs","No major breaches","Standard consumer-level privacy policy","65","60","HandBrake; VLC"
Electronic Arts,Origin,bac123,"Game launcher by EA",false,"Mixed reputation","Mostly low-severity CVEs","Has had account-related incidents","GDPR compliance stated","58","55","Steam; Epic Games Launcher"
Valve Corp.,Steam,cad456,"Gaming client with large ecosystem",true,"Strong reputation overall","Moderate CVEs due to scope","No major security breaches","Steam privacy controls; GDPR","80","78","GOG Galaxy; Epic Games Launcher"
